Level 1,Level 2,Tag Code,Regex Pattern,Source,Notes
Document,Standard,DOC,"(?<![A-Za-z0-9-])\d{3}-[A-Z]-[A-Z]{3,4}-\d{5}-\d{3}(?![A-Za-z0-9-])",Propuesto,"Captura IDs de documentos estándar, ej: 018-A-PID-00012-001"
Piping,Complex Line,PIPE,"(?i)\b\d{1,2}""-[A-Z]{2,4}-\d{4,6}-([A-Z0-9-]+)\b",Propuesto,"Captura números de línea de tubería, ej: 6""-PT-1234-STEAM"
Equipment,Pump,P,"(?<![A-Za-z0-9])\d{3}P\d{4}([A-Z](?:\/[A-Z])*)?(?![A-Za-z0-9])",PatternManager Original,"Específico para Bombas, maneja sufijos A/B/C"
Equipment,Furnace,F,"(?<![A-Za-z0-9])\d{3}F\d{4}([A-Z](?:\/[A-Z])*)?(?![A-Za-z0-9])",PatternManager Original,"Específico para Hornos"
Equipment,Heat Exchanger,E,"(?<![A-Za-z0-9])\d{3}E\d{4}[A-Z]?(?![A-Za-z0-9])",PatternManager Original,"Específico para Intercambiadores"
Equipment,Vessel,V,"(?<![A-Za-z0-9])\d{3}V\d{4}[A-Z]?(?![A-Za-z0-9])",PatternManager Original,"Específico para Recipientes"
Equipment,Column,C,"\b\d{3}C\d{4}[A-Z]?\b",PatternManager Original,"Compite con Compresor. El orden de ejecución es clave."
Equipment,Compressor,C,"(?<![A-Za-z0-9])\d{3}C\d{4}[A-Z]?(?![A-Za-z0-9])",PatternManager Original,""
Instrument,Instrument-Unit,INST,"(?<![A-Za-z0-9-])(\d{3})-([A-Z]{2,4})-(\d{3,4})([A-Z0-9]{1,2})?(?![A-Za-z0-9-])",Propuesto,"Captura tags complejos como 157-TAH-9700Z1 o (157-UY-9700Z1)"
Instrument,INSTR,ISA-STD,"r'(?<![A-Z0-9-])(PT|FT|TE|LT|LIC|PI|FIC|TG|PIT)-\d{3,5}[A-Z]?(?![A-Z0-9-])'",PatternManager Original,"Captura un conjunto limitado de instrumentos estándar ISA."
Equipment,EQP SP,EQP,"(?<![A-Za-z0-9])(\d{3})\s?([A-Z]{1,4})(\d+[A-Z]?)(?![A-Za-z0-9])",PatternManager Original,"Captura tags sin guiones como 018M6018 o 356SSE0001."
ElectricalEquipment,General,ELEC-COMMON,"(?<![A-Za-z0-9])(BUS|LC|UPS|CB|MOV|MS)(\d+[A-Z]?)(?![A-Za-z0-9])",Propuesto,"Componentes eléctricos comunes con prefijos."
Building,General,BLDG,"\b(BLD|ROOM|AREA|FAC|FLR|YD)-[A-Z0-9-]+\b",Propuesto,"Captura identificadores de edificios y áreas."
HVAC,General,HVAC,"\b(AC|AHU|CH|DMP|EF)\d+[A-Z]?\b",Propuesto,"Captura equipos de HVAC."
